ProductID,ProductName,ProductDescription,UnitPrice,StockQuantity,CategoryID,CountryOfOrigin,ProductImageURL
29,LG Bluetooth Kulaklık,LG Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,105001.76,411,1,Güney Kore,/images/products/elektronik_29.jpg
30,"HP 13"" Dizüstü Bilgisayar","HP 13"" Dizüstü Bilgisayar Garanti kapsamında sunulmaktadır.",89790.69,150,1,Almanya,/images/products/elektronik_30.jpg
31,HP Bluetooth Kulaklık,HP Bluetooth Kulaklık Modern tasarımıyla öne çıkar.,45206.55,71,1,Almanya,/images/products/elektronik_31.jpg
32,"Dell 14"" Dizüstü Bilgisayar","Dell 14"" Dizüstü Bilgisayar Modern tasarımıyla öne çıkar.",27208.84,288,1,İtalya,/images/products/elektronik_32.jpg
33,"Dell 14"" Dizüstü Bilgisayar","Dell 14"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",11352.15,403,1,Hollanda,/images/products/elektronik_33.jpg
34,"Apple 13"" Dizüstü Bilgisayar","Apple 13"" Dizüstü Bilgisayar Kullanıcılar tarafından beğenilen bir üründür.",15973.09,45,1,Çin,/images/products/elektronik_34.jpg
35,"Vestel 43"" OLED Televizyon","Vestel 43"" OLED Televizyon Kolay temizlenebilir yüzeye sahiptir.",6235.91,291,1,Fransa,/images/products/elektronik_35.jpg
36,"Huawei 55"" OLED Televizyon","Huawei 55"" OLED Televizyon Kullanıcılar tarafından beğenilen bir üründür.",48146.05,273,1,Türkiye,/images/products/elektronik_36.jpg
37,"Huawei 50"" OLED Televizyon","Huawei 50"" OLED Televizyon Kullanıcılar tarafından beğenilen bir üründür.",21308.88,273,1,Hollanda,/images/products/elektronik_37.jpg
38,Asus Bluetooth Kulaklık,Asus Bluetooth Kulaklık Modern tasarımıyla öne çıkar.,69944.26,434,1,Çin,/images/products/elektronik_38.jpg
39,Philips Note 12 Akıllı Telefon,Philips Note 12 Akıllı Telefon Kaliteli malzeme yapısına sahiptir.,81250.72,428,1,Fransa,/images/products/elektronik_39.jpg
40,"Xiaomi 16"" Dizüstü Bilgisayar","Xiaomi 16"" Dizüstü Bilgisayar Modern tasarımıyla öne çıkar.",38466.6,241,1,İngiltere,/images/products/elektronik_40.jpg
41,LG Bluetooth Kulaklık,LG Bluetooth Kulaklık Sessiz ve verimli çalışır.,99749.36,7,1,İngiltere,/images/products/elektronik_41.jpg
42,Xiaomi Akıllı Saat,Xiaomi Akıllı Saat Fiyat/performans açısından avantajlıdır.,8436.49,432,1,Amerika Birleşik Devletleri,/images/products/elektronik_42.jpg
43,Xiaomi A55 Akıllı Telefon,Xiaomi A55 Akıllı Telefon Uzun ömürlü kullanım sağlar.,65055.14,442,1,Güney Kore,/images/products/elektronik_43.jpg
44,Asus Bluetooth Kulaklık,Asus Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,85406.66,324,1,Çin,/images/products/elektronik_44.jpg
45,"Vestel 65"" OLED Televizyon","Vestel 65"" OLED Televizyon Kolay temizlenebilir yüzeye sahiptir.",62840.27,378,1,İtalya,/images/products/elektronik_45.jpg
46,HP Akıllı Saat,HP Akıllı Saat Kaliteli malzeme yapısına sahiptir.,33012.92,479,1,Hollanda,/images/products/elektronik_46.jpg
47,"Huawei 16"" Dizüstü Bilgisayar","Huawei 16"" Dizüstü Bilgisayar Uzun ömürlü kullanım sağlar.",90958.27,133,1,Türkiye,/images/products/elektronik_47.jpg
48,Xiaomi 15 Pro Akıllı Telefon,Xiaomi 15 Pro Akıllı Telefon Kolay temizlenebilir yüzeye sahiptir.,96220.36,493,1,İtalya,/images/products/elektronik_48.jpg
49,"Philips 15.6"" Dizüstü Bilgisayar","Philips 15.6"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",25543.41,60,1,Japonya,/images/products/elektronik_49.jpg
50,LG 15 Pro Akıllı Telefon,LG 15 Pro Akıllı Telefon Kaliteli malzeme yapısına sahiptir.,31138.77,474,1,Güney Kore,/images/products/elektronik_50.jpg
51,HP Bluetooth Kulaklık,HP Bluetooth Kulaklık Modern tasarımıyla öne çıkar.,116012.58,82,1,İtalya,/images/products/elektronik_51.jpg
52,"Philips 55"" OLED Televizyon","Philips 55"" OLED Televizyon Garanti kapsamında sunulmaktadır.",56373.29,115,1,Japonya,/images/products/elektronik_52.jpg
53,Philips Bluetooth Kulaklık,Philips Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,106728.91,47,1,Çin,/images/products/elektronik_53.jpg
54,Huawei 13 Akıllı Telefon,Huawei 13 Akıllı Telefon Günlük kullanım için idealdir.,78089.13,248,1,Çin,/images/products/elektronik_54.jpg
55,"Vestel 16"" Dizüstü Bilgisayar","Vestel 16"" Dizüstü Bilgisayar Uzun ömürlü kullanım sağlar.",82035.71,341,1,Hollanda,/images/products/elektronik_55.jpg
56,"Apple 65"" OLED Televizyon","Apple 65"" OLED Televizyon Modern tasarımıyla öne çıkar.",29844.05,111,1,Amerika Birleşik Devletleri,/images/products/elektronik_56.jpg
57,"Huawei 13"" Dizüstü Bilgisayar","Huawei 13"" Dizüstü Bilgisayar Kaliteli malzeme yapısına sahiptir.",59602.87,285,1,Çin,/images/products/elektronik_57.jpg
58,Xiaomi A55 Akıllı Telefon,Xiaomi A55 Akıllı Telefon Uzun ömürlü kullanım sağlar.,107812.48,377,1,Güney Kore,/images/products/elektronik_58.jpg
59,"Samsung 14"" Dizüstü Bilgisayar","Samsung 14"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",15787.49,185,1,Fransa,/images/products/elektronik_59.jpg
60,"Sony 75"" OLED Televizyon","Sony 75"" OLED Televizyon Garanti kapsamında sunulmaktadır.",109966.15,409,1,Hollanda,/images/products/elektronik_60.jpg
61,Samsung Akıllı Saat,Samsung Akıllı Saat Sessiz ve verimli çalışır.,28071.04,442,1,Güney Kore,/images/products/elektronik_61.jpg
62,"HP 50"" OLED Televizyon","HP 50"" OLED Televizyon Yüksek performans ve dayanıklılık sunar.",114698.67,243,1,Çin,/images/products/elektronik_62.jpg
63,LG A55 Akıllı Telefon,LG A55 Akıllı Telefon Kullanıcılar tarafından beğenilen bir üründür.,24538.71,342,1,İtalya,/images/products/elektronik_63.jpg
64,Dell 15 Akıllı Telefon,Dell 15 Akıllı Telefon Garanti kapsamında sunulmaktadır.,90573.33,90,1,Çin,/images/products/elektronik_64.jpg
65,Xiaomi Bluetooth Kulaklık,Xiaomi Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,63650.89,93,1,Çin,/images/products/elektronik_65.jpg
66,HP 15 Pro Akıllı Telefon,HP 15 Pro Akıllı Telefon Kaliteli malzeme yapısına sahiptir.,70867.32,266,1,Hollanda,/images/products/elektronik_66.jpg
67,"Samsung 15.6"" Dizüstü Bilgisayar","Samsung 15.6"" Dizüstü Bilgisayar Günlük kullanım için idealdir.",44262.12,420,1,Türkiye,/images/products/elektronik_67.jpg
68,LG Akıllı Saat,LG Akıllı Saat Fiyat/performans açısından avantajlıdır.,92834.46,88,1,İngiltere,/images/products/elektronik_68.jpg
69,Asus Akıllı Saat,Asus Akıllı Saat Garanti kapsamında sunulmaktadır.,38283.2,367,1,İtalya,/images/products/elektronik_69.jpg
70,"Dell 65"" OLED Televizyon","Dell 65"" OLED Televizyon Günlük kullanım için idealdir.",37380.84,298,1,Amerika Birleşik Devletleri,/images/products/elektronik_70.jpg
71,HP A55 Akıllı Telefon,HP A55 Akıllı Telefon Uzun ömürlü kullanım sağlar.,33859.59,125,1,Japonya,/images/products/elektronik_71.jpg
72,"Samsung 14"" Dizüstü Bilgisayar","Samsung 14"" Dizüstü Bilgisayar Sessiz ve verimli çalışır.",43197.89,414,1,Fransa,/images/products/elektronik_72.jpg
73,LG Akıllı Saat,LG Akıllı Saat Uzun ömürlü kullanım sağlar.,42213.73,163,1,Japonya,/images/products/elektronik_73.jpg
74,Philips S24 Akıllı Telefon,Philips S24 Akıllı Telefon Fiyat/performans açısından avantajlıdır.,105345.97,288,1,Güney Kore,/images/products/elektronik_74.jpg
75,Philips Bluetooth Kulaklık,Philips Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,38270.08,132,1,Almanya,/images/products/elektronik_75.jpg
76,Vestel Akıllı Saat,Vestel Akıllı Saat Fiyat/performans açısından avantajlıdır.,19889.81,131,1,Amerika Birleşik Devletleri,/images/products/elektronik_76.jpg
77,"Xiaomi 16"" Dizüstü Bilgisayar","Xiaomi 16"" Dizüstü Bilgisayar Kolay temizlenebilir yüzeye sahiptir.",104946.16,389,1,Hollanda,/images/products/elektronik_77.jpg
78,LG Note 13 Akıllı Telefon,LG Note 13 Akıllı Telefon Garanti kapsamında sunulmaktadır.,112373.9,127,1,İngiltere,/images/products/elektronik_78.jpg
79,"Sony 13"" Dizüstü Bilgisayar","Sony 13"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",54276.04,279,1,Hollanda,/images/products/elektronik_79.jpg
80,"Asus 16"" Dizüstü Bilgisayar","Asus 16"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",71106.88,304,1,Almanya,/images/products/elektronik_80.jpg
81,"Vestel 16"" Dizüstü Bilgisayar","Vestel 16"" Dizüstü Bilgisayar Garanti kapsamında sunulmaktadır.",104720.9,252,1,Amerika Birleşik Devletleri,/images/products/elektronik_81.jpg
82,"Philips 15.6"" Dizüstü Bilgisayar","Philips 15.6"" Dizüstü Bilgisayar Kullanıcılar tarafından beğenilen bir üründür.",1418.11,154,1,Fransa,/images/products/elektronik_82.jpg
83,"Xiaomi 16"" Dizüstü Bilgisayar","Xiaomi 16"" Dizüstü Bilgisayar Modern tasarımıyla öne çıkar.",83111.84,269,1,Hollanda,/images/products/elektronik_83.jpg
84,Samsung Bluetooth Kulaklık,Samsung Bluetooth Kulaklık Fiyat/performans açısından avantajlıdır.,3068.54,408,1,Amerika Birleşik Devletleri,/images/products/elektronik_84.jpg
85,"Philips 13"" Dizüstü Bilgisayar","Philips 13"" Dizüstü Bilgisayar Uzun ömürlü kullanım sağlar.",116643.91,452,1,Amerika Birleşik Devletleri,/images/products/elektronik_85.jpg
86,"Philips 13"" Dizüstü Bilgisayar","Philips 13"" Dizüstü Bilgisayar Kaliteli malzeme yapısına sahiptir.",116305.49,175,1,Türkiye,/images/products/elektronik_86.jpg
87,Vestel 15 Pro Akıllı Telefon,Vestel 15 Pro Akıllı Telefon Kullanıcılar tarafından beğenilen bir üründür.,1419.26,345,1,Fransa,/images/products/elektronik_87.jpg
88,"Asus 43"" OLED Televizyon","Asus 43"" OLED Televizyon Kaliteli malzeme yapısına sahiptir.",41378.4,110,1,Türkiye,/images/products/elektronik_88.jpg
89,"Apple 75"" OLED Televizyon","Apple 75"" OLED Televizyon Fiyat/performans açısından avantajlıdır.",36684.02,28,1,İngiltere,/images/products/elektronik_89.jpg
90,"Apple 55"" OLED Televizyon","Apple 55"" OLED Televizyon Sessiz ve verimli çalışır.",101615.76,289,1,Çin,/images/products/elektronik_90.jpg
91,Sony Bluetooth Kulaklık,Sony Bluetooth Kulaklık Modern tasarımıyla öne çıkar.,89304.61,427,1,Amerika Birleşik Devletleri,/images/products/elektronik_91.jpg
92,Apple Akıllı Saat,Apple Akıllı Saat Yüksek performans ve dayanıklılık sunar.,68475.53,384,1,Türkiye,/images/products/elektronik_92.jpg
93,Sony Akıllı Saat,Sony Akıllı Saat Fiyat/performans açısından avantajlıdır.,77873.53,379,1,Hollanda,/images/products/elektronik_93.jpg
94,"Philips 65"" OLED Televizyon","Philips 65"" OLED Televizyon Fiyat/performans açısından avantajlıdır.",50025.58,151,1,Hollanda,/images/products/elektronik_94.jpg
95,"Huawei 75"" OLED Televizyon","Huawei 75"" OLED Televizyon Günlük kullanım için idealdir.",75915.55,404,1,Türkiye,/images/products/elektronik_95.jpg
96,Sony Bluetooth Kulaklık,Sony Bluetooth Kulaklık Yüksek performans ve dayanıklılık sunar.,43579.35,97,1,Hollanda,/images/products/elektronik_96.jpg
97,"Xiaomi 13"" Dizüstü Bilgisayar","Xiaomi 13"" Dizüstü Bilgisayar Sessiz ve verimli çalışır.",10996.14,52,1,Japonya,/images/products/elektronik_97.jpg
98,Huawei Akıllı Saat,Huawei Akıllı Saat Modern tasarımıyla öne çıkar.,47846.99,48,1,Fransa,/images/products/elektronik_98.jpg
99,LG 15 Akıllı Telefon,LG 15 Akıllı Telefon Günlük kullanım için idealdir.,15448.53,76,1,İtalya,/images/products/elektronik_99.jpg
100,"Vestel 65"" OLED Televizyon","Vestel 65"" OLED Televizyon Garanti kapsamında sunulmaktadır.",106764.73,344,1,İngiltere,/images/products/elektronik_100.jpg
101,Vestel Akıllı Saat,Vestel Akıllı Saat Sessiz ve verimli çalışır.,45864.51,201,1,Çin,/images/products/elektronik_101.jpg
102,Asus Akıllı Saat,Asus Akıllı Saat Garanti kapsamında sunulmaktadır.,99981.65,450,1,Çin,/images/products/elektronik_102.jpg
103,Huawei Akıllı Saat,Huawei Akıllı Saat Yüksek performans ve dayanıklılık sunar.,78904.58,17,1,İngiltere,/images/products/elektronik_103.jpg
104,Philips A54 Akıllı Telefon,Philips A54 Akıllı Telefon Kolay temizlenebilir yüzeye sahiptir.,49613.66,346,1,Güney Kore,/images/products/elektronik_104.jpg
105,Vestel Akıllı Saat,Vestel Akıllı Saat Uzun ömürlü kullanım sağlar.,81528.51,80,1,Çin,/images/products/elektronik_105.jpg
106,LG Note 12 Akıllı Telefon,LG Note 12 Akıllı Telefon Kullanıcılar tarafından beğenilen bir üründür.,83906.4,4,1,İngiltere,/images/products/elektronik_106.jpg
107,"Vestel 14"" Dizüstü Bilgisayar","Vestel 14"" Dizüstü Bilgisayar Kullanıcılar tarafından beğenilen bir üründür.",108714.69,65,1,Güney Kore,/images/products/elektronik_107.jpg
108,"Dell 43"" OLED Televizyon","Dell 43"" OLED Televizyon Garanti kapsamında sunulmaktadır.",82745.58,64,1,Amerika Birleşik Devletleri,/images/products/elektronik_108.jpg
109,"Apple 50"" OLED Televizyon","Apple 50"" OLED Televizyon Fiyat/performans açısından avantajlıdır.",76054.98,143,1,Amerika Birleşik Devletleri,/images/products/elektronik_109.jpg
110,LG Note 12 Akıllı Telefon,LG Note 12 Akıllı Telefon Sessiz ve verimli çalışır.,64474.65,226,1,İtalya,/images/products/elektronik_110.jpg
111,HP Akıllı Saat,HP Akıllı Saat Yüksek performans ve dayanıklılık sunar.,109084.67,57,1,Çin,/images/products/elektronik_111.jpg
112,Samsung Akıllı Saat,Samsung Akıllı Saat Yüksek performans ve dayanıklılık sunar.,118013.72,58,1,İtalya,/images/products/elektronik_112.jpg
113,Vestel Bluetooth Kulaklık,Vestel Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,2916.23,259,1,Çin,/images/products/elektronik_113.jpg
114,Asus Akıllı Saat,Asus Akıllı Saat Kaliteli malzeme yapısına sahiptir.,14012.51,26,1,İtalya,/images/products/elektronik_114.jpg
115,Philips 13 Akıllı Telefon,Philips 13 Akıllı Telefon Garanti kapsamında sunulmaktadır.,4206.87,328,1,İtalya,/images/products/elektronik_115.jpg
116,"Samsung 13"" Dizüstü Bilgisayar","Samsung 13"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",106666.47,217,1,Japonya,/images/products/elektronik_116.jpg
117,Samsung S23 Akıllı Telefon,Samsung S23 Akıllı Telefon Kolay temizlenebilir yüzeye sahiptir.,35919.94,8,1,Güney Kore,/images/products/elektronik_117.jpg
118,Sony Akıllı Saat,Sony Akıllı Saat Modern tasarımıyla öne çıkar.,62001.62,30,1,Japonya,/images/products/elektronik_118.jpg
119,"Apple 16"" Dizüstü Bilgisayar","Apple 16"" Dizüstü Bilgisayar Sessiz ve verimli çalışır.",70006.49,336,1,Almanya,/images/products/elektronik_119.jpg
120,Xiaomi Akıllı Saat,Xiaomi Akıllı Saat Garanti kapsamında sunulmaktadır.,18832.34,403,1,Hollanda,/images/products/elektronik_120.jpg
121,"Xiaomi 14"" Dizüstü Bilgisayar","Xiaomi 14"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",75688.54,368,1,İngiltere,/images/products/elektronik_121.jpg
122,Apple 15 Pro Akıllı Telefon,Apple 15 Pro Akıllı Telefon Fiyat/performans açısından avantajlıdır.,58832.76,61,1,Almanya,/images/products/elektronik_122.jpg
123,"Huawei 55"" OLED Televizyon","Huawei 55"" OLED Televizyon Günlük kullanım için idealdir.",109534.77,165,1,İngiltere,/images/products/elektronik_123.jpg
124,"Samsung 65"" OLED Televizyon","Samsung 65"" OLED Televizyon Garanti kapsamında sunulmaktadır.",68837.2,292,1,İngiltere,/images/products/elektronik_124.jpg
125,"Sony 55"" OLED Televizyon","Sony 55"" OLED Televizyon Modern tasarımıyla öne çıkar.",95880.19,409,1,Fransa,/images/products/elektronik_125.jpg
126,Asus Akıllı Saat,Asus Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,110202.0,491,1,İtalya,/images/products/elektronik_126.jpg
127,Xiaomi Bluetooth Kulaklık,Xiaomi Bluetooth Kulaklık Garanti kapsamında sunulmaktadır.,49803.66,331,1,Hollanda,/images/products/elektronik_127.jpg
128,"Apple 55"" OLED Televizyon","Apple 55"" OLED Televizyon Kullanıcılar tarafından beğenilen bir üründür.",69776.97,132,1,Fransa,/images/products/elektronik_128.jpg
129,Vestel Bluetooth Kulaklık,Vestel Bluetooth Kulaklık Uzun ömürlü kullanım sağlar.,41824.39,417,1,Amerika Birleşik Devletleri,/images/products/elektronik_129.jpg
130,"Philips 65"" OLED Televizyon","Philips 65"" OLED Televizyon Kullanıcılar tarafından beğenilen bir üründür.",114350.19,210,1,Güney Kore,/images/products/elektronik_130.jpg
131,Xiaomi 14 Akıllı Telefon,Xiaomi 14 Akıllı Telefon Günlük kullanım için idealdir.,36527.62,185,1,Almanya,/images/products/elektronik_131.jpg
132,Samsung A54 Akıllı Telefon,Samsung A54 Akıllı Telefon Modern tasarımıyla öne çıkar.,40417.04,97,1,Güney Kore,/images/products/elektronik_132.jpg
133,Apple 14 Akıllı Telefon,Apple 14 Akıllı Telefon Sessiz ve verimli çalışır.,118727.48,295,1,Japonya,/images/products/elektronik_133.jpg
134,"Apple 65"" OLED Televizyon","Apple 65"" OLED Televizyon Modern tasarımıyla öne çıkar.",37723.64,24,1,Japonya,/images/products/elektronik_134.jpg
135,"Dell 16"" Dizüstü Bilgisayar","Dell 16"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",52025.04,294,1,İngiltere,/images/products/elektronik_135.jpg
136,"HP 15.6"" Dizüstü Bilgisayar","HP 15.6"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",46472.64,335,1,İngiltere,/images/products/elektronik_136.jpg
137,"Sony 43"" OLED Televizyon","Sony 43"" OLED Televizyon Fiyat/performans açısından avantajlıdır.",102992.97,145,1,İngiltere,/images/products/elektronik_137.jpg
138,LG Akıllı Saat,LG Akıllı Saat Sessiz ve verimli çalışır.,41328.8,380,1,Amerika Birleşik Devletleri,/images/products/elektronik_138.jpg
139,Asus Akıllı Saat,Asus Akıllı Saat Fiyat/performans açısından avantajlıdır.,15204.88,370,1,Hollanda,/images/products/elektronik_139.jpg
140,HP 15 Pro Akıllı Telefon,HP 15 Pro Akıllı Telefon Yüksek performans ve dayanıklılık sunar.,91002.33,484,1,Güney Kore,/images/products/elektronik_140.jpg
141,Dell Akıllı Saat,Dell Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,107795.41,489,1,İtalya,/images/products/elektronik_141.jpg
142,"Sony 75"" OLED Televizyon","Sony 75"" OLED Televizyon Fiyat/performans açısından avantajlıdır.",14985.17,114,1,Çin,/images/products/elektronik_142.jpg
143,"Vestel 55"" OLED Televizyon","Vestel 55"" OLED Televizyon Garanti kapsamında sunulmaktadır.",93006.56,69,1,Amerika Birleşik Devletleri,/images/products/elektronik_143.jpg
144,HP Akıllı Saat,HP Akıllı Saat Uzun ömürlü kullanım sağlar.,106090.91,121,1,Amerika Birleşik Devletleri,/images/products/elektronik_144.jpg
145,Dell 14 Akıllı Telefon,Dell 14 Akıllı Telefon Yüksek performans ve dayanıklılık sunar.,50561.99,269,1,Amerika Birleşik Devletleri,/images/products/elektronik_145.jpg
146,Xiaomi Akıllı Saat,Xiaomi Akıllı Saat Modern tasarımıyla öne çıkar.,97201.09,437,1,Hollanda,/images/products/elektronik_146.jpg
147,"Apple 13"" Dizüstü Bilgisayar","Apple 13"" Dizüstü Bilgisayar Garanti kapsamında sunulmaktadır.",35164.7,138,1,Almanya,/images/products/elektronik_147.jpg
148,Philips S24 Ultra Akıllı Telefon,Philips S24 Ultra Akıllı Telefon Uzun ömürlü kullanım sağlar.,36942.17,98,1,Türkiye,/images/products/elektronik_148.jpg
149,"Apple 13"" Dizüstü Bilgisayar","Apple 13"" Dizüstü Bilgisayar Günlük kullanım için idealdir.",41102.1,184,1,Türkiye,/images/products/elektronik_149.jpg
150,HP Akıllı Saat,HP Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,15733.75,271,1,Amerika Birleşik Devletleri,/images/products/elektronik_150.jpg
151,HP Akıllı Saat,HP Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,5199.56,105,1,İtalya,/images/products/elektronik_151.jpg
152,"LG 55"" OLED Televizyon","LG 55"" OLED Televizyon Garanti kapsamında sunulmaktadır.",8406.69,380,1,Türkiye,/images/products/elektronik_152.jpg
153,"Xiaomi 13"" Dizüstü Bilgisayar","Xiaomi 13"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",107794.84,283,1,Fransa,/images/products/elektronik_153.jpg
154,Samsung Bluetooth Kulaklık,Samsung Bluetooth Kulaklık Kullanıcılar tarafından beğenilen bir üründür.,116208.07,52,1,Çin,/images/products/elektronik_154.jpg
155,Xiaomi Akıllı Saat,Xiaomi Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,65718.09,245,1,Almanya,/images/products/elektronik_155.jpg
156,"Xiaomi 14"" Dizüstü Bilgisayar","Xiaomi 14"" Dizüstü Bilgisayar Uzun ömürlü kullanım sağlar.",33036.59,28,1,Hollanda,/images/products/elektronik_156.jpg
157,"Sony 13"" Dizüstü Bilgisayar","Sony 13"" Dizüstü Bilgisayar Yüksek performans ve dayanıklılık sunar.",66732.85,193,1,İtalya,/images/products/elektronik_157.jpg
158,Samsung Note 12 Akıllı Telefon,Samsung Note 12 Akıllı Telefon Günlük kullanım için idealdir.,93774.92,279,1,Güney Kore,/images/products/elektronik_158.jpg
159,Vestel A55 Akıllı Telefon,Vestel A55 Akıllı Telefon Modern tasarımıyla öne çıkar.,88856.4,129,1,İtalya,/images/products/elektronik_159.jpg
